p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.0001	0.0	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	8	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	13	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	14	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	15	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	16	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	19	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	20	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	23	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	24	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	26	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	28	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	1	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	3	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	4	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	6	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	8	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	10	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	11	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	12	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	13	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	14	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	15	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	16	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	17	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	20	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	22	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	23	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	24	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	25	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	26	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	28	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.001	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	1	0	41	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	2	0	29	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	3	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	4	0	38	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	5	0	56	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	6	0	20	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	7	0	40	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	8	0	54	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	9	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	10	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	11	0	30	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
