p_mut	p_inf	n_inf_n_mean
1.0e-8	0.0	0.0
1.0e-8	0.0005	0.0
1.0e-8	0.001	0.0
1.0e-8	0.0015	0.0
1.0e-8	0.002	0.0
1.0e-8	0.0025	0.0
1.0e-8	0.003	0.0
1.0e-8	0.0035	0.0
1.0e-8	0.004	0.0
1.0e-8	0.0045	0.0
1.0e-8	0.005	0.0
1.0e-8	0.0055	0.0
1.0e-8	0.006	0.0
1.0e-8	0.0065	0.0
1.0e-8	0.007	0.0
1.0e-8	0.0075	1376.5333333333333
1.0e-8	0.008	2892.133333333333
1.0e-8	0.0085	3355.7
1.0e-8	0.009	3770.1
1.0e-8	0.0095	3837.2
1.0e-8	0.01	4002.5
1.5848931924611136e-8	0.0	0.0
1.5848931924611136e-8	0.0005	0.0
1.5848931924611136e-8	0.001	0.0
1.5848931924611136e-8	0.0015	0.0
1.5848931924611136e-8	0.002	0.0
1.5848931924611136e-8	0.0025	0.0
1.5848931924611136e-8	0.003	0.0
1.5848931924611136e-8	0.0035	0.0
1.5848931924611136e-8	0.004	0.0
1.5848931924611136e-8	0.0045	0.0
1.5848931924611136e-8	0.005	0.0
1.5848931924611136e-8	0.0055	0.0
1.5848931924611136e-8	0.006	0.0
1.5848931924611136e-8	0.0065	0.0
1.5848931924611136e-8	0.007	0.0
1.5848931924611136e-8	0.0075	1149.8333333333333
1.5848931924611136e-8	0.008	2783.2
1.5848931924611136e-8	0.0085	3028.6666666666665
1.5848931924611136e-8	0.009	3705.1
1.5848931924611136e-8	0.0095	3896.6666666666665
1.5848931924611136e-8	0.01	4470.933333333333
2.51188643150958e-8	0.0	0.0
2.51188643150958e-8	0.0005	0.0
2.51188643150958e-8	0.001	0.0
2.51188643150958e-8	0.0015	0.0
2.51188643150958e-8	0.002	0.0
2.51188643150958e-8	0.0025	0.0
2.51188643150958e-8	0.003	0.0
2.51188643150958e-8	0.0035	0.0
2.51188643150958e-8	0.004	0.0
2.51188643150958e-8	0.0045	0.0
2.51188643150958e-8	0.005	0.0
2.51188643150958e-8	0.0055	0.0
2.51188643150958e-8	0.006	0.0
2.51188643150958e-8	0.0065	0.0
2.51188643150958e-8	0.007	147.43333333333334
2.51188643150958e-8	0.0075	1669.6666666666667
2.51188643150958e-8	0.008	3208.3
2.51188643150958e-8	0.0085	3963.0
2.51188643150958e-8	0.009	4236.833333333333
2.51188643150958e-8	0.0095	4559.6
2.51188643150958e-8	0.01	4480.9
3.981071705534972e-8	0.0	0.0
3.981071705534972e-8	0.0005	0.0
3.981071705534972e-8	0.001	0.0
3.981071705534972e-8	0.0015	0.0
3.981071705534972e-8	0.002	0.0
3.981071705534972e-8	0.0025	0.0
3.981071705534972e-8	0.003	0.0
3.981071705534972e-8	0.0035	0.0
3.981071705534972e-8	0.004	0.0
3.981071705534972e-8	0.0045	0.0
3.981071705534972e-8	0.005	0.0
3.981071705534972e-8	0.0055	0.0
3.981071705534972e-8	0.006	0.0
3.981071705534972e-8	0.0065	0.0
3.981071705534972e-8	0.007	720.5333333333333
3.981071705534972e-8	0.0075	2604.0333333333333
3.981071705534972e-8	0.008	4133.233333333334
3.981071705534972e-8	0.0085	4547.333333333333
3.981071705534972e-8	0.009	4569.0
3.981071705534972e-8	0.0095	4916.8
3.981071705534972e-8	0.01	4903.3
6.309573444801934e-8	0.0	0.0
6.309573444801934e-8	0.0005	0.0
6.309573444801934e-8	0.001	0.0
6.309573444801934e-8	0.0015	0.0
6.309573444801934e-8	0.002	0.0
6.309573444801934e-8	0.0025	0.0
6.309573444801934e-8	0.003	0.0
6.309573444801934e-8	0.0035	0.0
6.309573444801934e-8	0.004	0.0
6.309573444801934e-8	0.0045	0.0
6.309573444801934e-8	0.005	0.0
6.309573444801934e-8	0.0055	0.0
6.309573444801934e-8	0.006	0.0
6.309573444801934e-8	0.0065	0.0
6.309573444801934e-8	0.007	488.3666666666667
6.309573444801934e-8	0.0075	1807.0
6.309573444801934e-8	0.008	3454.5666666666666
6.309573444801934e-8	0.0085	4298.466666666666
6.309573444801934e-8	0.009	4468.766666666666
6.309573444801934e-8	0.0095	4815.133333333333
6.309573444801934e-8	0.01	4821.233333333334
1.0e-7	0.0	0.0
1.0e-7	0.0005	0.0
1.0e-7	0.001	0.0
1.0e-7	0.0015	0.0
1.0e-7	0.002	0.0
1.0e-7	0.0025	0.0
1.0e-7	0.003	0.0
1.0e-7	0.0035	0.0
1.0e-7	0.004	0.0
1.0e-7	0.0045	0.0
1.0e-7	0.005	0.0
1.0e-7	0.0055	0.0
1.0e-7	0.006	0.0
1.0e-7	0.0065	0.0
1.0e-7	0.007	831.6333333333333
1.0e-7	0.0075	2489.233333333333
1.0e-7	0.008	2995.1666666666665
1.0e-7	0.0085	3832.5
1.0e-7	0.009	4498.166666666667
1.0e-7	0.0095	4997.933333333333
1.0e-7	0.01	4999.433333333333
1.5848931924611133e-7	0.0	0.0
1.5848931924611133e-7	0.0005	0.0
1.5848931924611133e-7	0.001	0.0
1.5848931924611133e-7	0.0015	0.0
1.5848931924611133e-7	0.002	0.0
1.5848931924611133e-7	0.0025	0.0
1.5848931924611133e-7	0.003	0.0
1.5848931924611133e-7	0.0035	0.0
1.5848931924611133e-7	0.004	0.0
1.5848931924611133e-7	0.0045	0.0
1.5848931924611133e-7	0.005	0.0
1.5848931924611133e-7	0.0055	0.0
1.5848931924611133e-7	0.006	166.66666666666666
1.5848931924611133e-7	0.0065	500.0
1.5848931924611133e-7	0.007	1166.6666666666667
1.5848931924611133e-7	0.0075	2166.5666666666666
1.5848931924611133e-7	0.008	3666.633333333333
1.5848931924611133e-7	0.0085	4166.566666666667
1.5848931924611133e-7	0.009	4500.0
1.5848931924611133e-7	0.0095	4833.3
1.5848931924611133e-7	0.01	5000.0
2.5118864315095796e-7	0.0	0.0
2.5118864315095796e-7	0.0005	0.0
2.5118864315095796e-7	0.001	0.0
2.5118864315095796e-7	0.0015	0.0
2.5118864315095796e-7	0.002	0.0
2.5118864315095796e-7	0.0025	0.0
2.5118864315095796e-7	0.003	0.0
2.5118864315095796e-7	0.0035	0.0
2.5118864315095796e-7	0.004	0.0
2.5118864315095796e-7	0.0045	0.0
2.5118864315095796e-7	0.005	0.0
2.5118864315095796e-7	0.0055	0.0
2.5118864315095796e-7	0.006	166.66666666666666
2.5118864315095796e-7	0.0065	333.3333333333333
2.5118864315095796e-7	0.007	333.3333333333333
2.5118864315095796e-7	0.0075	2000.0
2.5118864315095796e-7	0.008	3333.3333333333335
2.5118864315095796e-7	0.0085	4333.333333333333
2.5118864315095796e-7	0.009	4333.333333333333
