p_mut	p_inf	n_inf_n_mean
1.0e-8	0.0	0.0
1.0e-8	0.0005	0.0
1.0e-8	0.001	0.0
1.0e-8	0.0015	0.0
1.0e-8	0.002	0.0
1.0e-8	0.0025	0.0
1.0e-8	0.003	0.0
1.0e-8	0.0035	0.0
1.0e-8	0.004	0.0
1.0e-8	0.0045	0.0
1.0e-8	0.005	0.0
1.0e-8	0.0055	0.0
1.0e-8	0.006	0.0
1.0e-8	0.0065	0.0
1.0e-8	0.007	0.0
1.0e-8	0.0075	1593.6666666666667
1.0e-8	0.008	3095.4666666666667
1.0e-8	0.0085	3540.1666666666665
1.0e-8	0.009	4230.133333333333
1.0e-8	0.0095	4198.8
1.0e-8	0.01	4419.7
1.5848931924611136e-8	0.0	0.0
1.5848931924611136e-8	0.0005	0.0
1.5848931924611136e-8	0.001	0.0
1.5848931924611136e-8	0.0015	0.0
1.5848931924611136e-8	0.002	0.0
1.5848931924611136e-8	0.0025	0.0
1.5848931924611136e-8	0.003	0.0
1.5848931924611136e-8	0.0035	0.0
1.5848931924611136e-8	0.004	0.0
1.5848931924611136e-8	0.0045	0.0
1.5848931924611136e-8	0.005	0.0
1.5848931924611136e-8	0.0055	0.0
1.5848931924611136e-8	0.006	0.0
1.5848931924611136e-8	0.0065	0.0
1.5848931924611136e-8	0.007	291.96666666666664
1.5848931924611136e-8	0.0075	2063.5666666666666
1.5848931924611136e-8	0.008	3377.3333333333335
1.5848931924611136e-8	0.0085	3505.4666666666667
1.5848931924611136e-8	0.009	4045.7
1.5848931924611136e-8	0.0095	4247.466666666666
1.5848931924611136e-8	0.01	4790.2
2.51188643150958e-8	0.0	0.0
2.51188643150958e-8	0.0005	0.0
2.51188643150958e-8	0.001	0.0
2.51188643150958e-8	0.0015	0.0
2.51188643150958e-8	0.002	0.0
2.51188643150958e-8	0.0025	0.0
2.51188643150958e-8	0.003	0.0
2.51188643150958e-8	0.0035	0.0
2.51188643150958e-8	0.004	0.0
2.51188643150958e-8	0.0045	0.0
2.51188643150958e-8	0.005	0.0
2.51188643150958e-8	0.0055	0.0
2.51188643150958e-8	0.006	165.13333333333333
2.51188643150958e-8	0.0065	166.0
2.51188643150958e-8	0.007	0.0
2.51188643150958e-8	0.0075	2342.866666666667
2.51188643150958e-8	0.008	3195.7
2.51188643150958e-8	0.0085	4061.6
2.51188643150958e-8	0.009	4567.466666666666
2.51188643150958e-8	0.0095	4736.6
2.51188643150958e-8	0.01	4621.7
3.981071705534972e-8	0.0	0.0
3.981071705534972e-8	0.0005	0.0
3.981071705534972e-8	0.001	0.0
3.981071705534972e-8	0.0015	0.0
3.981071705534972e-8	0.002	0.0
3.981071705534972e-8	0.0025	0.0
3.981071705534972e-8	0.003	0.0
3.981071705534972e-8	0.0035	0.0
3.981071705534972e-8	0.004	0.0
3.981071705534972e-8	0.0045	0.0
3.981071705534972e-8	0.005	0.0
3.981071705534972e-8	0.0055	0.0
3.981071705534972e-8	0.006	0.0
3.981071705534972e-8	0.0065	162.5
3.981071705534972e-8	0.007	491.1333333333333
3.981071705534972e-8	0.0075	2625.4333333333334
3.981071705534972e-8	0.008	4296.466666666666
3.981071705534972e-8	0.0085	4644.133333333333
3.981071705534972e-8	0.009	4815.6
3.981071705534972e-8	0.0095	4991.666666666667
3.981071705534972e-8	0.01	4994.1
6.309573444801934e-8	0.0	0.0
6.309573444801934e-8	0.0005	0.0
6.309573444801934e-8	0.001	0.0
6.309573444801934e-8	0.0015	0.0
6.309573444801934e-8	0.002	0.0
6.309573444801934e-8	0.0025	0.0
6.309573444801934e-8	0.003	0.0
6.309573444801934e-8	0.0035	0.0
6.309573444801934e-8	0.004	0.0
6.309573444801934e-8	0.0045	0.0
6.309573444801934e-8	0.005	0.0
6.309573444801934e-8	0.0055	0.0
6.309573444801934e-8	0.006	0.0
6.309573444801934e-8	0.0065	0.0
6.309573444801934e-8	0.007	497.1333333333333
6.309573444801934e-8	0.0075	2161.5333333333333
6.309573444801934e-8	0.008	4331.533333333334
6.309573444801934e-8	0.0085	4498.166666666667
6.309573444801934e-8	0.009	4498.433333333333
6.309573444801934e-8	0.0095	4832.833333333333
6.309573444801934e-8	0.01	4832.866666666667
1.0e-7	0.0	0.0
1.0e-7	0.0005	0.0
1.0e-7	0.001	0.0
1.0e-7	0.0015	0.0
1.0e-7	0.002	0.0
1.0e-7	0.0025	0.0
1.0e-7	0.003	0.0
1.0e-7	0.0035	0.0
1.0e-7	0.004	0.0
1.0e-7	0.0045	0.0
1.0e-7	0.005	0.0
1.0e-7	0.0055	0.0
1.0e-7	0.006	0.0
1.0e-7	0.0065	0.0
1.0e-7	0.007	999.9
1.0e-7	0.0075	1999.8333333333333
1.0e-7	0.008	3166.6
1.0e-7	0.0085	4499.966666666666
1.0e-7	0.009	4500.0
1.0e-7	0.0095	5000.0
1.0e-7	0.01	4833.333333333333
1.5848931924611133e-7	0.0	0.0
1.5848931924611133e-7	0.0005	0.0
1.5848931924611133e-7	0.001	0.0
1.5848931924611133e-7	0.0015	0.0
1.5848931924611133e-7	0.002	0.0
1.5848931924611133e-7	0.0025	0.0
1.5848931924611133e-7	0.003	0.0
1.5848931924611133e-7	0.0035	0.0
1.5848931924611133e-7	0.004	0.0
1.5848931924611133e-7	0.0045	0.0
1.5848931924611133e-7	0.005	0.0
1.5848931924611133e-7	0.0055	0.0
1.5848931924611133e-7	0.006	166.66666666666666
1.5848931924611133e-7	0.0065	666.6666666666666
1.5848931924611133e-7	0.007	1333.3333333333333
1.5848931924611133e-7	0.0075	2166.6666666666665
1.5848931924611133e-7	0.008	3666.6666666666665
1.5848931924611133e-7	0.0085	4166.666666666667
1.5848931924611133e-7	0.009	4333.333333333333
1.5848931924611133e-7	0.0095	4833.333333333333
1.5848931924611133e-7	0.01	4833.333333333333
2.5118864315095796e-7	0.0	0.0
2.5118864315095796e-7	0.0005	0.0
2.5118864315095796e-7	0.001	0.0
2.5118864315095796e-7	0.0015	0.0
2.5118864315095796e-7	0.002	0.0
2.5118864315095796e-7	0.0025	0.0
2.5118864315095796e-7	0.003	0.0
2.5118864315095796e-7	0.0035	0.0
2.5118864315095796e-7	0.004	0.0
2.5118864315095796e-7	0.0045	0.0
2.5118864315095796e-7	0.005	0.0
2.5118864315095796e-7	0.0055	0.0
2.5118864315095796e-7	0.006	0.0
2.5118864315095796e-7	0.0065	166.66666666666666
2.5118864315095796e-7	0.007	1500.0
2.5118864315095796e-7	0.0075	2666.6666666666665
2.5118864315095796e-7	0.008	2833.3333333333335
2.5118864315095796e-7	0.0085	4500.0
